external_player_id,player_name,projection_roles,rejection_reason
5183,Jeremy Rathjen,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4198,Jermaine Mitchell,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5191,Jesus Solorzano,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4761,Jim Negrych,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5108,John Wooten,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5238,Jonathan Roof,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5011,Jordan Paroubeck,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5187,Josh Elander,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4985,Josh Hart,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3601,Josh Rodriguez,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4126,Juan Diaz,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5147,Juan Silviero,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4868,Julian Yan,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5040,Kevin Franklin,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4247,Kevin Mattison,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5123,Kevin Rivers,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4719,Kolbrin Vitek,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3644,Kyle Hudson,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
7355050,Kyle-DUP Dernedde-DUP,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4851,Lee Orr,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4873,Logan Vick,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3677,Lucas May,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
7454,Luis Alamanzar,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5176,Luis Encarnacion,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3681,Luis Exposito,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3683,Luis Martinez,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
44142,Luke Berryhill-DUP,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4388,Mark Hamilton,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4047,Matt Angle,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4335,Matt Downs,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3731,Matt LaPorta,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3739,Matt Tolbert,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
44786,Matthew Fraizer,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4075,Melky Mesa,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5136,Micker Zapata,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3781,Mike Nickeas,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4731,Miles Head,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3787,Mitch Maier,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
48094,Nate-DUP Nankil-DUP,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4869,Nathan Hanson,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
48058,Nik McClaughry,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
44739,Noah Miller-DUP,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
7156,Oniel Cruz,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4118,Osvaldo Martinez,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5180,Raydel Medina,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
44934,Richard Palacios,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5023,Riley Unroe,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4926,Robby Hefflinger,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4861,Roderick Shoulders,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5140,Ron Tapia,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4088,Russ Canzler,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5122,Rylan Sandoval,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5100,Sean Dwyer,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
7354898,Starlyn Caba,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5447,Steve Lerud,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5112,Steve Rodriguez,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4864,Torsten Boss,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
3975,Trayvon Robinson,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5086,Trey Williams,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5045,Tucker Neuhaus,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
4467,Tyler Graham,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
7355309,Wady-DUP Mendezz-DUP,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
5160,Wilson Amador,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
48107,Yahil-DUP Melendez-DUP,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
44807,Yanier Diaz-DUP,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
7356669,Yeremy Cabrera-DUP,H,MISSING_VALID_MLBAM_ID_IN_FANTASYPROS_DIRECTORY
